Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,1,kroiss philipp (l),-,-,-,-,-,-,21,-,62%,52%,-,-,-,-,.,-
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,2,bazin yannick,3,2,-,28,1,2,-,-,.,.,4,2,-,1,25%,-
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,3,osoria rodriguez livan,17,8,11,15,4,-,3,-,33%,33%,16,-,2,10,63%,7
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,4,takaniko boris,-,-,-1,1,1,-,-,-,.,.,-,-,-,-,.,-
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,5,pire mathias,-,-,-1,1,1,-,-,-,.,.,-,-,-,-,.,-
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,6,dutra oliveira yago,9,3,1,14,2,2,27,1,63%,52%,15,3,2,7,47%,-
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,7,villard paul,13,3,8,11,2,-,23,2,35%,13%,25,-,1,12,48%,1
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,9,quiroga gonzalo,8,2,-,17,1,1,28,3,61%,32%,32,3,1,6,19%,1
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,10,marshman michael,5,1,-,12,3,-,-,-,.,.,9,2,-,3,33%,2
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,12,cagliari daniel,38,10,25,15,3,2,-,-,.,.,57,6,4,36,63%,-
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,17,jecmenica ivan,1,-,-1,8,2,-,-,-,.,.,3,-,-,1,33%,-
4781,2020-10-23,cambrai,denys gabriel,louis marty sète,,totals,94,29,42,122,20,7,102,6,55%,37%,161,16,10,76,47%,11
