Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,1,kroiss philipp (l),-,-,-1,-,-,-,16,1,56%,31%,-,-,-,-,.,-
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,3,osoria rodriguez livan,1,-,-2,5,-,-,-,-,.,.,6,2,1,1,17%,-
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,4,takaniko boris,1,-,1,-,-,-,-,-,.,.,1,-,-,1,100%,-
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,5,lalisse  rémy,2,-,-3,6,3,-,14,-,71%,71%,15,1,1,2,13%,-
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,6,dutra oliveira yago,11,3,5,6,1,-,23,-,78%,65%,24,4,1,11,46%,-
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,7,villard paul,-,-,-4,6,-,-,14,-,57%,43%,11,1,3,-,0%,-
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,10,marshman michael,1,-,-2,5,1,-,-,-,.,.,8,1,1,1,13%,-
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,11,pepin tinaël,15,5,10,7,1,-,-,-,.,.,19,2,2,13,68%,2
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,12,ropret gregor,1,-,-,13,1,-,-,-,.,.,1,-,-,1,100%,-
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,14,grosnon quentin,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,17,jecmenica ivan,7,-,7,8,-,-,-,-,.,.,13,-,-,6,46%,1
5374,2021-11-23,cambrai,ondrusek roman,vanpoulle cambrai,,totals,39,8,11,56,7,-,67,1,67%,54%,98,11,9,36,37%,3
