Match ID,Match Date,Stadium,Home Team,Home Points,Guest Team,Guest Points
5317,2021-10-07,andré brouat,toulouse,1,cambrai,3
5318,2021-10-08,pierre dumortier,tourcoing,1,chaumont,3
5319,2021-10-09,palais des victoires,cannes ,3,paris,2
5321,2021-10-09,lawson body,poitiers,1,tours,3
5322,2021-10-09,arthur dugast,nantes rezé,3,sète,2
5320,2021-10-09,espace omnisports,plessis-robinson,2,nice,3
5323,2021-10-09,chaban delmas,montpellier,1,narbonne,3
5324,2021-10-15,louis marty,sète,3,cannes ,1
5325,2021-10-15,gianmarchi-palmeira,nice,0,montpellier,3
5326,2021-10-15,andré brouat,toulouse,2,tourcoing,3
5327,2021-10-16,pierre charpy,paris,3,nantes rezé,2
5328,2021-10-16,vanpoulle,cambrai,3,poitiers,0
5329,2021-10-16,palestra,chaumont,3,plessis-robinson,0
5330,2021-10-16,arena,narbonne,0,tours,3
5331,2021-10-22,lawson body,poitiers,1,nantes rezé,3
5332,2021-10-22,louis marty,sète,3,toulouse,2
5333,2021-10-22,pierre dumortier,tourcoing,2,montpellier,3
5334,2021-10-22,,tours,3,nice,2
5335,2021-10-22,palais des victoires,cannes ,1,narbonne,3
5336,2021-10-23,espace omnisports,plessis-robinson,3,cambrai,1
5337,2021-10-23,palestra,chaumont,3,paris,1
5341,2021-10-26,arena,narbonne,3,sète,1
5338,2021-10-26,vanpoulle,cambrai,3,chaumont,1
5339,2021-10-26,chaban delmas,montpellier,3,poitiers,0
5340,2021-10-26,arthur dugast,nantes rezé,1,cannes ,3
5342,2021-10-26,andré brouat,toulouse,3,nice,0
5343,2021-10-26,pierre dumortier,tourcoing,3,plessis-robinson,2
5344,2021-10-27,pierre charpy,paris,2,tours,3
5345,2021-10-29,gianmarchi-palmeira,nice,2,narbonne,3
5346,2021-10-29,,tours,3,cambrai,0
5347,2021-10-30,palais des victoires,cannes ,0,toulouse,3
5348,2021-10-30,arthur dugast,nantes rezé,3,tourcoing,1
5349,2021-10-30,palestra,chaumont,3,montpellier,2
5351,2021-10-31,pierre charpy,paris,3,poitiers,0
5350,2021-10-31,louis marty,sète,3,plessis-robinson,0
5352,2021-11-05,lawson body,poitiers,3,cannes ,1
5353,2021-11-05,gianmarchi-palmeira,nice,2,chaumont,3
5356,2021-11-06,espace omnisports,plessis-robinson,1,toulouse,3
5355,2021-11-06,pierre dumortier,tourcoing,0,tours,3
5354,2021-11-06,arena,narbonne,3,nantes rezé,1
5357,2021-11-06,chaban delmas,montpellier,3,sète,0
5358,2021-11-06,vanpoulle,cambrai,2,paris,3
5359,2021-11-12,louis marty,sète,3,tourcoing,1
5360,2021-11-12,palais des victoires,cannes ,1,cambrai,3
5361,2021-11-12,andré brouat,toulouse,0,chaumont,3
5362,2021-11-13,pierre charpy,paris,0,plessis-robinson,3
5363,2021-11-13,lawson body,poitiers,1,narbonne,3
5364,2021-11-13,robert grenon,tours,3,montpellier,0
5365,2021-11-14,arthur dugast,nantes rezé,1,nice,3
5366,2021-11-19,gianmarchi-palmeira,nice,1,sète,3
5367,2021-11-19,andré brouat,toulouse,1,nantes rezé,3
5368,2021-11-19,pierre dumortier,tourcoing,3,cambrai,1
5369,2021-11-19,arena,narbonne,3,paris,1
5370,2021-11-20,pierre charpy,plessis-robinson,0,tours,3
5371,2021-11-20,palestra,chaumont,3,poitiers,1
5372,2021-11-20,chaban delmas,montpellier,3,cannes ,0
5375,2021-11-23,arena,narbonne,3,plessis-robinson,1
5373,2021-11-23,palais des victoires,cannes ,0,tourcoing,3
5374,2021-11-23,vanpoulle,cambrai,0,montpellier,3
5376,2021-11-23,pierre charpy,paris,3,nice,2
5377,2021-11-23,lawson body,poitiers,1,sète,3
5378,2021-11-23,robert grenon,tours,3,toulouse,1
5379,2021-11-24,arthur dugast,nantes rezé,2,chaumont,3
5380,2021-11-26,gianmarchi-palmeira,nice,3,cannes ,1
5381,2021-11-26,pierre dumortier,tourcoing,3,narbonne,0
5386,2021-11-27,palestra,chaumont,0,tours,3
5384,2021-11-27,espace omnisports,plessis-robinson,3,poitiers,1
5382,2021-11-27,louis marty,sète,3,cambrai,0
5383,2021-11-27,andré brouat,toulouse,1,paris,3
5385,2021-11-27,mangin beaulieu,nantes rezé,0,montpellier,3
5387,2021-12-03,lawson body,poitiers,3,tourcoing,0
5388,2021-12-03,pierre charpy,paris,0,sète,3
5389,2021-12-04,palais des victoires,cannes ,0,chaumont,3
5390,2021-12-04,arena,narbonne,3,toulouse,1
5391,2021-12-04,vanpoulle,cambrai,1,nice,3
5392,2021-12-04,chaban delmas,montpellier,3,plessis-robinson,1
5393,2021-12-04,robert grenon,tours,3,nantes rezé,0
5394,2021-12-10,gianmarchi-palmeira,nice,3,poitiers,0
5395,2021-12-10,arthur dugast,nantes rezé,3,cambrai,1
5396,2021-12-11,pierre charpy,paris,3,tourcoing,1
5397,2021-12-11,espace omnisports,plessis-robinson,3,cannes ,0
5398,2021-12-11,andré brouat,toulouse,3,montpellier,0
5399,2021-12-11,louis marty,sète,3,tours,0
5400,2021-12-11,palestra,chaumont,1,narbonne,3
5401,2021-12-17,louis marty,sète,3,chaumont,0
5402,2021-12-17,pierre dumortier,tourcoing,3,nice,1
5403,2021-12-17,vanpoulle,cambrai,2,narbonne,3
5404,2021-12-18,espace omnisports,plessis-robinson,3,nantes rezé,0
5405,2021-12-18,lawson body,poitiers,3,toulouse,1
5407,2021-12-18,robert grenon,tours,3,cannes ,0
5406,2022-01-25,chaban delmas,montpellier,3,paris,1
5412,2021-12-29,arena,narbonne,3,poitiers,2
5409,2021-12-29,palestra,chaumont,3,cambrai,0
5411,2022-01-11,arthur dugast,nantes rezé,3,paris,2
5414,2022-01-19,andré brouat,toulouse,3,plessis-robinson,1
5410,2022-02-10,chaban delmas,montpellier,1,tourcoing,3
5413,2022-03-08,gianmarchi-palmeira,nice,1,tours,3
5416,2022-01-04,arena,narbonne,2,nice,3
5417,2022-01-04,pierre charpy,paris,2,chaumont,3
5420,2022-01-04,pierre dumortier,tourcoing,3,toulouse,1
5419,2022-02-01,louis marty,sète,1,nantes rezé,3
5418,2022-03-01,lawson body,poitiers,1,montpellier,3
5423,2022-01-08,pierre charpy,plessis-robinson,0,paris,3
5425,2022-01-08,arthur dugast,nantes rezé,0,narbonne,3
5422,2022-01-08,andré brouat,toulouse,1,sète,3
5427,2022-01-08,palestra,chaumont,3,tourcoing,1
5428,2022-01-08,chaban delmas,montpellier,3,nice,0
5426,2022-01-26,vanpoulle,cambrai,0,tours,3
5429,2022-01-14,gianmarchi-palmeira,nice,3,toulouse,2
5431,2022-01-15,pierre dumortier,tourcoing,2,sète,3
5433,2022-01-15,lawson body,poitiers,0,plessis-robinson,3
5435,2022-01-15,robert grenon,tours,3,chaumont,1
5430,2022-02-22,pierre charpy,paris,3,cambrai,1
5437,2022-01-22,espace omnisports,plessis-robinson,2,tourcoing,3
5438,2022-01-22,andré brouat,toulouse,1,tours,3
5440,2022-01-22,palestra,chaumont,3,nice,2
5442,2022-01-22,chaban delmas,montpellier,3,cambrai,0
5436,2022-02-08,louis marty,sète,3,paris,0
5439,2022-02-14,arthur dugast,nantes rezé,0,poitiers,3
5443,2022-01-28,gianmarchi-palmeira,nice,3,plessis-robinson,2
5444,2022-01-29,pierre charpy,paris,1,narbonne,3
5449,2022-01-29,chaban delmas,montpellier,3,toulouse,2
5448,2022-02-22,palestra,chaumont,3,nantes rezé,2
5446,2022-03-01,vanpoulle,cambrai,1,sète,3
5450,2022-02-04,louis marty,sète,0,nice,3
5451,2022-02-04,arthur dugast,nantes rezé,3,toulouse,2
5453,2022-02-05,espace omnisports,plessis-robinson,1,chaumont,3
5454,2022-02-05,lawson body,poitiers,2,paris,3
5455,2022-02-05,arena,narbonne,3,cambrai,0
5456,2022-02-05,robert grenon,tours,3,tourcoing,0
5457,2022-02-10,andré brouat,toulouse,3,poitiers,0
5458,2022-02-11,gianmarchi-palmeira,nice,3,nantes rezé,1
5459,2022-02-11,vanpoulle,cambrai,3,plessis-robinson,1
5460,2022-02-12,palestra,chaumont,3,sète,0
5461,2022-02-13,chaban delmas,montpellier,3,tours,2
5462,2022-02-13,arena,narbonne,2,tourcoing,3
5464,2022-02-17,trocardière,nantes rezé,1,tours,3
5465,2022-02-18,louis marty,sète,3,narbonne,0
5466,2022-02-18,pierre dumortier,tourcoing,3,paris,1
5467,2022-02-18,vanpoulle,cambrai,2,toulouse,3
5469,2022-02-19,pierre charpy,plessis-robinson,3,montpellier,0
5470,2022-02-19,lawson body,poitiers,2,chaumont,3
5471,2022-02-25,gianmarchi-palmeira,nice,3,cambrai,1
5473,2022-02-26,espace omnisports,plessis-robinson,3,sète,1
5472,2022-02-26,pierre dumortier,tourcoing,3,poitiers,2
5474,2022-02-26,andré brouat,toulouse,0,narbonne,3
5476,2022-02-26,chaban delmas,montpellier,1,nantes rezé,3
5477,2022-02-27,robert grenon,tours,3,paris,2
5478,2022-03-04,pierre charpy,paris,3,toulouse,1
5480,2022-03-05,arthur dugast,nantes rezé,1,plessis-robinson,3
5481,2022-03-05,lawson body,poitiers,3,nice,0
5482,2022-03-05,vanpoulle,cambrai,0,tourcoing,3
5483,2022-03-05,arena,narbonne,1,chaumont,3
5484,2022-03-06,louis marty,sète,0,montpellier,3
5486,2022-03-11,robert grenon,tours,3,sète,2
5488,2022-03-12,espace omnisports,plessis-robinson,0,narbonne,3
