<MATCH_ID> 25724 <TEAM> VC NAGANO TRIDENTS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25724 <TEAM> VC NAGANO TRIDENTS <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25724 <TEAM> VC NAGANO TRIDENTS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25724 <TEAM> VC NAGANO TRIDENTS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25718 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25718 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25718 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25718 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25722 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25722 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25722 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25722 <TEAM> SUNTORY Sunbirds <SET> 3 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25722 <TEAM> WOLFDOGS NAGOYA <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25722 <TEAM> WOLFDOGS NAGOYA <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25716 <TEAM> TORAY ARROWS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25716 <TEAM> TORAY ARROWS <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
