<MATCH_ID> 25765 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERMS> [('O', 'MB', 'OH', 'S', 'MB', 'OH'), ('S', 'MB', 'OH', 'O', 'MB', 'OH')]
<MATCH_ID> 25765 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERMS> [('O', 'MB', 'OH', 'S', 'MB', 'OH'), ('S', 'MB', 'OH', 'O', 'MB', 'OH')]
<MATCH_ID> 25765 <TEAM> JT Thunders HIROSHIMA <SET> 3 <VALUE> 5 <PERMS> [('O', 'MB', 'OH', 'S', 'MB', 'OH'), ('S', 'MB', 'OH', 'O', 'MB', 'OH')]
<MATCH_ID> 25766 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERMS> [('O', 'MB', 'OH', 'S', 'MB', 'OH'), ('S', 'MB', 'OH', 'O', 'MB', 'OH')]
<MATCH_ID> 25766 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERMS> [('OH', 'O', 'MB', 'OH', 'S', 'MB'), ('OH', 'S', 'MB', 'OH', 'O', 'MB')]
<MATCH_ID> 25766 <TEAM> JT Thunders HIROSHIMA <SET> 3 <VALUE> 5 <PERMS> [('O', 'MB', 'OH', 'S', 'MB', 'OH'), ('S', 'MB', 'OH', 'O', 'MB', 'OH')]
<MATCH_ID> 25766 <TEAM> JT Thunders HIROSHIMA <SET> 4 <VALUE> 5 <PERMS> [('OH', 'O', 'MB', 'OH', 'S', 'MB'), ('OH', 'S', 'MB', 'OH', 'O', 'MB')]
<MATCH_ID> 25767 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERMS> [('OH', 'O', 'MB', 'OH', 'S', 'MB'), ('OH', 'S', 'MB', 'OH', 'O', 'MB')]
<MATCH_ID> 25767 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERMS> [('O', 'MB', 'OH', 'S', 'MB', 'OH'), ('S', 'MB', 'OH', 'O', 'MB', 'OH')]
<MATCH_ID> 25767 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERMS> [('O', 'MB', 'OH', 'S', 'MB', 'OH'), ('S', 'MB', 'OH', 'O', 'MB', 'OH')]
<MATCH_ID> 25889 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 4 <PERMS> [('OH', 'MB', 'S', 'OH', 'MB', 'O'), ('O', 'MB', 'OH', 'S', 'MB', 'OH')]
<MATCH_ID> 25889 <TEAM> SUNTORY Sunbirds <SET> 3 <VALUE> 4 <PERMS> [('MB', 'OH', 'S', 'MB', 'OH', 'O'), ('MB', 'S', 'OH', 'MB', 'O', 'OH')]
<MATCH_ID> 27806 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 4 <PERMS> [('MB', 'OH', 'O', 'MB', 'OH', 'S'), ('MB', 'OH', 'S', 'MB', 'OH', 'O')]
<MATCH_ID> 28533 <TEAM> VOREAS <SET> 2 <VALUE> 4 <PERMS> [('OH', 'MB', 'S', 'OH', 'MB', 'O'), ('O', 'MB', 'OH', 'S', 'MB', 'OH')]
