league,match_id,season,date,teamA,teamB,scoreA,scoreB,setA_1,setA_2,setA_3,setA_4,setA_5,setB_1,setB_2,setB_3,setB_4,setB_5
Nation's League,11700,2021,2021-05-28,FRA,BUL,3,0,27,25,25,,,25,21,23,,
Nation's League,11701,2021,2021-05-28,GER,AUS,3,0,25,25,25,,,19,18,16,,
Nation's League,11702,2021,2021-05-28,JPN,IRI,3,0,25,25,26,,,19,22,24,,
Nation's League,11703,2021,2021-05-28,SRB,SLO,3,1,22,25,36,25,,25,18,34,18,
Nation's League,11704,2021,2021-05-28,NED,RUS,1,3,19,22,25,20,,25,25,18,25,
Nation's League,11705,2021,2021-05-28,USA,CAN,3,0,25,26,25,,,17,24,20,,
Nation's League,11706,2021,2021-05-28,POL,ITA,3,0,25,25,25,,,19,20,18,,
Nation's League,11707,2021,2021-05-28,BRA,ARG,3,0,31,26,25,,,29,24,16,,
Nation's League,11708,2021,2021-05-29,GER,FRA,2,3,25,22,25,16,15,22,25,22,25,17
Nation's League,11709,2021,2021-05-29,IRI,RUS,1,3,17,25,20,17,,25,20,25,25,
Nation's League,11710,2021,2021-05-29,NED,JPN,2,3,25,25,22,17,8,22,23,25,25,15
Nation's League,11711,2021,2021-05-29,AUS,BUL,0,3,21,20,20,,,25,25,25,,
Nation's League,11712,2021,2021-05-29,POL,SRB,3,1,26,25,21,25,,24,19,25,15,
Nation's League,11713,2021,2021-05-29,ITA,SLO,0,3,23,19,15,,,25,25,25,,
Nation's League,11714,2021,2021-05-29,ARG,CAN,0,3,17,21,17,,,25,25,25,,
Nation's League,11715,2021,2021-05-29,USA,BRA,0,3,22,23,19,,,25,25,25,,
Nation's League,11716,2021,2021-05-30,AUS,FRA,1,3,26,25,14,23,,28,20,25,25,
Nation's League,11717,2021,2021-05-30,NED,IRI,0,3,18,23,28,,,25,25,30,,
Nation's League,11718,2021,2021-05-30,GER,BUL,3,2,19,25,22,30,15,25,21,25,28,11
Nation's League,11719,2021,2021-05-30,RUS,JPN,2,3,26,28,25,21,14,28,26,20,25,16
Nation's League,11720,2021,2021-05-30,USA,ARG,3,1,23,25,25,25,,25,21,15,19,
Nation's League,11721,2021,2021-05-30,CAN,BRA,1,3,17,20,25,25,,25,25,22,27,
Nation's League,11722,2021,2021-05-30,POL,SLO,1,3,22,25,19,23,,25,23,25,25,
Nation's League,11723,2021,2021-05-30,SRB,ITA,3,1,25,22,25,25,,23,25,22,18,
Nation's League,11724,2021,2021-06-03,GER,ARG,2,3,19,25,25,23,13,25,23,17,25,15
Nation's League,11725,2021,2021-06-03,IRI,CAN,3,1,22,25,25,25,,25,22,22,22,
Nation's League,11726,2021,2021-06-03,JPN,SRB,1,3,25,23,22,13,,18,25,25,25,
Nation's League,11727,2021,2021-06-03,BRA,FRA,0,3,37,18,28,,,39,25,30,,
Nation's League,11728,2021,2021-06-03,NED,SLO,0,3,18,15,18,,,25,25,25,,
Nation's League,11729,2021,2021-06-03,AUS,POL,0,3,16,10,12,,,25,25,25,,
Nation's League,11730,2021,2021-06-03,ITA,BUL,3,2,25,20,25,23,15,19,25,13,25,12
Nation's League,11731,2021,2021-06-03,RUS,USA,3,1,25,25,17,25,,22,19,25,19,
Nation's League,11732,2021,2021-06-04,ARG,SLO,0,3,19,22,18,,,25,25,25,,
Nation's League,11733,2021,2021-06-04,NED,GER,3,2,25,23,25,23,15,18,25,20,25,13
Nation's League,11734,2021,2021-06-04,BRA,JPN,3,0,25,25,25,,,20,16,20,,
Nation's League,11735,2021,2021-06-04,SRB,FRA,3,2,22,24,25,25,15,25,26,22,23,9
Nation's League,11736,2021,2021-06-04,IRI,ITA,3,1,26,29,21,25,,24,27,25,22,
Nation's League,11737,2021,2021-06-04,POL,USA,3,0,25,28,25,,,17,26,17,,
Nation's League,11738,2021,2021-06-04,RUS,AUS,3,0,25,26,25,,,19,24,21,,
Nation's League,11739,2021,2021-06-04,CAN,BUL,3,0,28,25,25,,,26,23,16,,
Nation's League,11740,2021,2021-06-05,NED,ARG,0,3,19,20,23,,,25,25,25,,
Nation's League,11741,2021,2021-06-05,SLO,GER,1,3,25,20,21,20,,19,25,25,25,
Nation's League,11742,2021,2021-06-05,FRA,JPN,3,2,21,25,24,25,15,25,22,26,21,11
Nation's League,11743,2021,2021-06-05,BRA,SRB,3,1,23,25,25,25,,25,23,15,22,
Nation's League,11744,2021,2021-06-05,RUS,POL,1,3,25,19,19,14,,21,25,25,25,
Nation's League,11745,2021,2021-06-05,USA,AUS,3,0,25,25,25,,,23,20,17,,
Nation's League,11746,2021,2021-06-05,BUL,IRI,0,3,20,31,22,,,25,33,25,,
Nation's League,11747,2021,2021-06-05,CAN,ITA,2,3,19,21,25,28,11,25,25,21,26,15
Nation's League,11748,2021,2021-06-09,SRB,GER,3,1,19,25,25,25,,25,22,18,15,
Nation's League,11749,2021,2021-06-09,JPN,AUS,3,1,25,21,28,26,,18,25,26,24,
Nation's League,11750,2021,2021-06-09,FRA,RUS,3,1,22,25,30,25,,25,18,28,19,
Nation's League,11751,2021,2021-06-09,SLO,CAN,3,0,25,25,25,,,22,19,22,,
Nation's League,11752,2021,2021-06-09,ARG,ITA,0,3,28,21,20,,,30,25,25,,
Nation's League,11753,2021,2021-06-09,IRI,USA,3,0,25,25,25,,,19,23,23,,
Nation's League,11754,2021,2021-06-09,POL,BUL,3,0,25,25,25,,,19,15,12,,
Nation's League,11755,2021,2021-06-09,NED,BRA,0,3,19,22,25,,,25,25,27,,
Nation's League,11756,2021,2021-06-10,SRB,IRI,3,2,21,25,26,25,15,25,15,28,22,8
Nation's League,11757,2021,2021-06-10,RUS,CAN,3,1,25,25,23,25,,18,18,25,23,
Nation's League,11758,2021,2021-06-10,FRA,SLO,2,3,25,25,23,19,9,17,19,25,25,15
Nation's League,11759,2021,2021-06-10,ARG,AUS,3,0,25,25,25,,,18,19,20,,
Nation's League,11760,2021,2021-06-10,GER,USA,0,3,12,18,27,,,25,25,29,,
Nation's League,11761,2021,2021-06-10,BUL,BRA,0,3,16,22,12,,,25,25,25,,
Nation's League,11762,2021,2021-06-10,JPN,ITA,3,2,21,25,22,25,15,25,22,25,15,9
Nation's League,11763,2021,2021-06-10,POL,NED,3,0,25,25,25,,,14,17,16,,
Nation's League,11764,2021,2021-06-11,IRI,GER,2,3,25,20,19,25,13,23,25,25,19,15
Nation's League,11765,2021,2021-06-11,SLO,RUS,3,2,19,25,22,25,15,25,23,25,20,8
Nation's League,11766,2021,2021-06-11,JPN,ARG,1,3,32,16,18,21,,30,25,25,25,
Nation's League,11767,2021,2021-06-11,NED,BUL,2,3,18,25,25,22,13,25,18,17,25,15
Nation's League,11768,2021,2021-06-11,AUS,ITA,0,3,20,22,14,,,25,25,25,,
Nation's League,11769,2021,2021-06-11,USA,SRB,1,3,23,17,25,25,,25,25,19,27,
Nation's League,11770,2021,2021-06-11,CAN,FRA,1,3,25,21,22,17,,20,25,25,25,
Nation's League,11771,2021,2021-06-11,POL,BRA,0,3,17,26,19,,,25,28,25,,
Nation's League,11772,2021,2021-06-15,RUS,SRB,3,1,25,25,22,25,,23,22,25,21,
Nation's League,11773,2021,2021-06-15,IRI,AUS,2,3,23,22,25,25,12,25,25,23,18,15
Nation's League,11774,2021,2021-06-15,ARG,BUL,3,1,25,16,25,25,,20,25,18,18,
Nation's League,11775,2021,2021-06-15,JPN,GER,3,0,25,25,25,,,18,22,20,,
Nation's League,11776,2021,2021-06-15,ITA,USA,0,3,15,18,21,,,25,25,25,,
Nation's League,11777,2021,2021-06-15,CAN,POL,0,3,22,23,19,,,25,25,25,,
Nation's League,11778,2021,2021-06-15,BRA,SLO,3,2,15,25,19,25,15,25,22,25,13,12
Nation's League,11779,2021,2021-06-15,NED,FRA,3,2,15,22,28,25,19,25,25,26,23,17
Nation's League,11780,2021,2021-06-16,ARG,RUS,1,3,19,23,25,19,,25,25,21,25,
Nation's League,11781,2021,2021-06-16,SRB,BUL,3,0,25,25,25,,,20,17,17,,
Nation's League,11782,2021,2021-06-16,SLO,AUS,3,1,18,25,25,25,,25,18,18,17,
Nation's League,11783,2021,2021-06-16,JPN,POL,0,3,14,18,19,,,25,25,25,,
Nation's League,11784,2021,2021-06-16,NED,ITA,1,3,19,23,25,21,,25,25,23,25,
Nation's League,11785,2021,2021-06-16,CAN,GER,3,0,25,26,25,,,17,24,21,,
